Tire,Spring Rate,P,IA,Nominal Load,CS,CSC,FY-0
,-      ,,0,250,102,0.406,17
,-      ,,0,100,91,0.909,15
,416,,2,200,102,0.508,57
,-      ,,2,150,100,0.664,49
,-      ,,2,50,58,1.159,15
,-      ,,2,250,96,0.385,58
,-      ,,2,100,88,0.875,35
,382,,4,200,95,0.475,91
,-      ,,4,150,93,0.623,76
,-      ,,4,50,48,0.964,17
,-      ,,4,250,85,0.34,96
,-      ,,4,100,78,0.784,47
,421,,1,200,104,0.518,33
,-      ,,1,150,101,0.673,30
,-      ,,1,50,63,1.252,12
,-      ,,1,250,98,0.393,34
,-      ,,1,100,90,0.898,25
,403,,3,200,98,0.489,72
,-      ,,3,150,96,0.642,61
,-      ,,3,50,52,1.042,16
,-      ,,3,250,91,0.363,76
,-      ,,3,100,83,0.834,42
,544,12,0,200,121,0.605,16
,-      ,,0,150,109,0.728,15
,-      ,,0,50,58,1.151,7
,-      ,,0,250,128,0.51,16
,-      ,,0,100,88,0.882,12
,526,,2,200,117,0.585,48
,-      ,,2,150,102,0.68,38
,-      ,,2,50,52,1.039,9
,-      ,,2,250,123,0.493,55
,-      ,,2,100,81,0.813,23
,492,,4,200,109,0.546,74
,-      ,,4,150,91,0.609,53
,-      ,,4,50,45,0.9,11
,-      ,,4,250,118,0.47,91
,-      ,,4,100,71,0.71,30
,536,,1,200,119,0.593,30
,-      ,,1,150,105,0.697,26
,-      ,,1,50,55,1.098,8
,-      ,,1,250,125,0.501,33
,-      ,,1,100,85,0.846,18
,517,,3,200,113,0.567,61
,-      ,,3,150,97,0.647,46
,-      ,,3,50,49,0.974,9
,-      ,,3,250,121,0.483,72
,-      ,,3,100,75,0.751,27
Hoosier 43100 18.0x6.0-10 R20,0,12,0,250,143.67,0.57,5.79
,0,12,0,250,140.66,0.56,5.2
,0,12,0,200,130.42,0.65,7.12
,0,12,0,150,113.67,0.76,8.4
,0,12,0,50,54.15,1.08,2.54
,0,12,0,250,143.54,0.57,9.01
,0,12,0,100,87.57,0.88,5.93
,0,12,2,200,129.42,0.65,41.42
,0,12,2,150,108.98,0.73,27.74
,0,12,2,50,51.7,1.03,3.81
,0,12,2,250,142.3,0.57,50.97
,0,12,2,100,84.58,0.85,15.04
,0,12,4,200,118.77,0.59,64.27
,0,12,4,150,99.22,0.66,41.89
,0,12,4,50,47.27,0.95,5.81
,0,12,4,250,133.54,0.53,82.62
,0,12,4,100,75.46,0.75,21.33
,0,10,0,250,142.26,0.57,6.14
,0,10,0,200,134.58,0.67,6.89
,0,10,0,150,120.74,0.8,8.68
,0,10,0,50,56.97,1.14,3.89
,0,10,0,250,138.68,0.55,4.75
,0,10,0,100,94.83,0.95,7.65
,0,10,2,200,130.94,0.65,44.38
,0,10,2,150,114.15,0.76,32.98
,0,10,2,50,54.98,1.1,5.9
,0,10,2,250,136.26,0.55,48.77
,0,10,2,100,89.36,0.89,19.69
,0,10,4,200,122.57,0.61,73.99
,0,10,4,150,102.03,0.68,50.99
,0,10,4,50,48.97,0.98,7.88
,0,10,4,250,132.11,0.53,88.72
,0,10,4,100,80.03,0.8,27.69
,0,14,0,250,146.09,0.58,4.88
,0,14,0,200,130.48,0.65,7.51
,0,14,0,150,107.78,0.72,7.1
,0,14,0,50,48.85,0.98,2.31
,0,14,0,250,144.15,0.58,6.58
,0,14,0,100,80.09,0.8,5.75
,0,14,2,200,124.58,0.62,32.16
,0,14,2,150,103.44,0.69,21.41
,0,14,2,50,47.72,0.95,3.17
,0,14,2,250,141.35,0.57,41.57
,0,14,2,100,79.22,0.79,11.35
,0,14,4,200,114.35,0.57,51.2
,0,14,4,150,94.31,0.63,32.24
,0,14,4,50,44.45,0.89,3.85
,0,14,4,250,131.3,0.53,69.37
,0,14,4,100,70.87,0.71,15.81
Goodyear D0571 18.0x6.5-10,0,12,0,250,196.52,0.79,-34.81
,0,12,0,250,195.16,0.78,-34.04
,0,12,0,200,178.67,0.89,-30.67
,0,12,0,150,139.98,0.93,-22.74
,0,12,0,50,54.87,1.1,-7.66
,0,12,0,250,195.4,0.78,-35.5
,0,12,0,100,97.63,0.98,-15.72
,0,12,2,200,170.37,0.85,0.65
,0,12,2,150,138.18,0.92,-8.42
,0,12,2,50,51.1,1.02,-6.8
,0,12,2,250,187.51,0.75,11.17
,0,12,2,100,94.95,0.95,-8.62
,0,12,4,200,151.37,0.76,30.03
,0,12,4,150,123.76,0.83,9.35
,0,12,4,50,48.08,0.96,-6.04
,0,12,4,250,168.34,0.67,47.8
,0,12,4,100,91.07,0.91,-2.29
,0,10,0,250,176.54,0.71,-43.65
,0,10,0,200,177.94,0.89,-35.99
,0,10,0,150,154.25,1.03,-30.15
,0,10,0,50,57.95,1.16,-8.52
,0,10,0,250,175.09,0.7,-43.87
,0,10,0,100,107.96,1.08,-18.29
,0,10,2,200,171.26,0.86,6.14
,0,10,2,150,148.26,0.99,-6.15
,0,10,2,50,56.41,1.13,-7.41
,0,10,2,250,171.49,0.69,18.06
,0,10,2,100,105.95,1.06,-8.6
,0,10,4,200,151.93,0.76,40.19
,0,10,4,150,129.85,0.87,16.76
,0,10,4,50,53.72,1.07,-5.89
,0,10,4,250,161.08,0.64,56.7
,0,10,4,100,98.03,0.98,0.15
,0,14,0,250,196.77,0.79,-42.17
,0,14,0,200,164.99,0.82,-30.92
,0,14,0,150,127.1,0.85,-20.26
,0,14,0,50,46.99,0.94,-5.43
,0,14,0,250,195.62,0.78,-37.46
,0,14,0,100,85.81,0.86,-12.72
,0,14,2,200,160.92,0.8,-5.53
,0,14,2,150,124.97,0.83,-10.32
,0,14,2,50,45.01,0.9,-4.74
,0,14,2,250,186.32,0.75,2.52
,0,14,2,100,86.18,0.86,-7.81
,0,14,4,200,144.73,0.72,18.63
,0,14,4,150,116.02,0.77,3.37
,0,14,4,50,43.93,0.88,-4.61
,0,14,4,250,167.2,0.67,35.59
,0,14,4,100,84.25,0.84,-4.89
MRF 18x6.0-10 ZTD1,0,12,0,250,184.25,0.74,-18.31
,0,12,0,250,180.73,0.72,-17.94
,0,12,0,200,169.12,0.85,-14.9
,0,12,0,150,146.11,0.97,-12.32
,0,12,0,50,58.13,1.16,-4.98
,0,12,0,250,180.23,0.72,-15.15
,0,12,0,100,108.06,1.08,-8.59
,0,12,2,200,158.9,0.79,34.96
,0,12,2,150,136.19,0.91,20.35
,0,12,2,50,56.25,1.12,1
,0,12,2,250,174.81,0.7,42.95
,0,12,2,100,102.82,1.03,8.33
,0,12,4,200,142.99,0.71,68.07
,0,12,4,150,118.19,0.79,43.23
,0,12,4,50,50.24,1,5.47
,0,12,4,250,158.97,0.64,85.42
,0,12,4,100,87.03,0.87,21.59
,0,10,0,250,175.79,0.7,-25.07
,0,10,0,200,168.92,0.84,-21.67
,0,10,0,150,152.31,1.02,-16.01
,0,10,0,50,60.93,1.22,-5.14
,0,10,0,250,173.2,0.69,-21.49
,0,10,0,100,115.06,1.15,-9.62
,0,10,2,200,161.07,0.81,36.69
,0,10,2,150,139.03,0.93,23.67
,0,10,2,50,57.69,1.15,1.29
,0,10,2,250,168.1,0.67,40.8
,0,10,2,100,104.11,1.04,11.06
,0,10,4,200,143.45,0.72,73.36
,0,10,4,150,121.14,0.81,48.21
,0,10,4,50,49.97,1,7.38
,0,10,4,250,155.7,0.62,88.89
,0,10,4,100,88.21,0.88,25.51
,0,14,0,250,183.44,0.73,-21.74
,0,14,0,200,167.94,0.84,-16.68
,0,14,0,150,141.63,0.94,-11.99
,0,14,0,50,55.62,1.11,-4.54
,0,14,0,250,183.01,0.73,-18.93
,0,14,0,100,103.08,1.03,-8.03
,0,14,2,200,157.17,0.79,29.58
,0,14,2,150,132.79,0.89,16.09
,0,14,2,50,53.77,1.08,0.17
,0,14,2,250,174.65,0.7,38.36
,0,14,2,100,98.98,0.99,6.26
,0,14,4,200,141.07,0.71,60.77
,0,14,4,150,116.02,0.77,37.49
,0,14,4,50,48.38,0.97,4.32
,0,14,4,250,158.96,0.64,78.8
,0,14,4,100,85.71,0.86,18.11
